trial_id, eps_id, trips, missed_trips, loss, steps, rh_loss, dh_loss, max_delay, max_queue, CO_abs, CO2_abs, HC_abs, PMx_abs, NOx_abs, fuel_abs, elec_abs, agent_type
0, 0, 133151, 179, 181.34336798071394, 86400, 44.676596694214766, 27.245936454849506, 2638.73, 104.0, 28562.3829147399, 729544.3291640824, 146.29393477888834, 14.249496173998086, 304.8809623026943, 232700.64302115532, 0.0, actu
0, 0, 131940, 1396, 265.2290143246954, 86400, 220.46043087362168, 33.922330648981536, 2051.99, 103.0, 40939.77534436226, 941676.9554896257, 207.70281454406694, 19.485125752569342, 402.34813263255836, 300365.23240066436, 0.0, static
0, 0, 133212, 163, 175.65849082665196, 86400, 44.79207550363981, 28.713792041686382, 2433.78, 106.0, 27719.06046765017, 720764.8170192227, 142.22190126516392, 13.950552545521443, 300.20493344702084, 229900.10336709325, 0.0, actu
0, 0, 132904, 200, 174.2850921717962, 86400, 43.73376838864175, 31.107224947442152, 2480.42, 106.0, 27532.41117960648, 717616.943038882, 141.29595533293346, 13.870960434591748, 298.74156874651896, 228896.0169550435, 0.0, actu
0, 0, 133468, 233, 184.01351410075804, 86400, 44.31710407239824, 29.730625000000106, 2586.44, 106.0, 29028.490847405814, 742607.9205020362, 148.7011312229731, 14.490545993736555, 310.211294059864, 236867.48804056545, 0.0, actu
0, 1, 133018, 201, 180.78689147333608, 86400, 45.37652569502948, 28.47478771887739, 2954.22, 106.0, 28543.28764298151, 734538.8902543378, 146.29794686942338, 14.29029060225683, 306.499693353232, 234293.67638520387, 0.0, actu
0, 2, 133057, 243, 194.03596082881643, 86400, 47.6741021724371, 34.31532374100713, 2493.52, 106.0, 30535.77877444219, 767559.0112988245, 156.15406799379983, 15.109345370277541, 321.6617362733611, 244826.24461313992, 0.0, actu
0, 3, 133203, 178, 177.22741860168156, 86400, 50.21133963886498, 28.888088688641194, 2664.07, 106.0, 27953.45899481007, 724829.8820960525, 143.3857123539732, 14.049386555993465, 302.05893057769583, 231196.749824169, 0.0, actu
0, 4, 133155, 184, 166.16073943900065, 86400, 52.93729793312059, 27.766217579250714, 2402.53, 106.0, 26256.03872755858, 696522.7266893539, 134.98656899282994, 13.347158068574215, 289.069578534896, 222167.5030283537, 0.0, actu
0, 5, 132508, 168, 152.65883297612098, 86400, 51.13948600508893, 34.35104097974558, 2386.58, 106.0, 24217.05445605997, 662180.0231780979, 124.88476022477954, 12.49478121290021, 273.2727467150002, 211213.08840635346, 0.0, actu
0, 6, 132761, 148, 165.93967181626982, 86400, 41.58797839506169, 39.42042867181999, 2850.81, 106.0, 26238.359900319385, 696231.4097201007, 134.89757629590645, 13.339206504839561, 288.92049204494367, 222074.58161759094, 0.0, actu
0, 0, 132161, 1314, 272.225070860544, 86400, 225.97796986115793, 34.18573144876322, 2051.95, 105.0, 41962.70054331536, 964055.5481930856, 212.8661014684677, 19.953795249203868, 411.95555143508125, 307503.32185151405, 0.0, static
0, 1, 132239, 1360, 268.46314581930926, 86400, 222.9294423728821, 34.17280484961523, 2132.3, 105.0, 41373.87401823259, 954356.0096666355, 209.9579806443859, 19.715855113128544, 407.5295296791531, 304409.41335993976, 0.0, static
0, 2, 131588, 1401, 267.64300962093614, 86400, 226.6654636209816, 34.04599613152808, 2134.93, 105.0, 41279.756088545546, 952430.304871389, 209.47864969400902, 19.666468212253257, 406.6132678286591, 303795.1797909286, 0.0, static
0, 0, 132130, 1513, 269.1798431090586, 86400, 181.0251545159636, 34.59594052395553, 2147.4, 105.0, 41519.999367324264, 956598.0793198735, 210.67405763284088, 19.771693152758825, 408.54310422358867, 305124.5831870149, 0.0, static
0, 1, 132118, 1378, 268.3096127704013, 86400, 222.2404056795138, 35.20974893415435, 2168.48, 105.0, 41411.127899952495, 954883.6739344101, 210.13785243544018, 19.72950403795093, 407.75708646606347, 304577.72835666884, 0.0, static
0, 2, 132229, 1357, 270.9017743460195, 86400, 213.65774700854695, 34.80121888811354, 2264.02, 105.0, 41786.383895834035, 961087.8484596666, 211.99495400313933, 19.88229751215692, 410.6086281219085, 306556.7016526977, 0.0, static
0, 3, 132266, 1397, 269.52989505995606, 86400, 183.36803785702216, 34.26047528517115, 2127.69, 105.0, 41565.91918348895, 957032.7776326579, 210.8901910012565, 19.780541135000767, 408.7204121282899, 305263.2558892411, 0.0, static
0, 4, 132149, 1476, 278.6386777047106, 86400, 224.6253440878662, 34.36936352800937, 2327.06, 105.0, 42933.635342350695, 980438.6542239008, 217.6777943317693, 20.361569758772482, 419.4988993951359, 312729.0972418113, 0.0, static
0, 5, 132147, 1267, 272.1106294505352, 86400, 228.2912397820169, 34.55300117233283, 2205.02, 105.0, 41959.09963967118, 963789.415099213, 212.8425061715349, 19.948878580202223, 411.83556895555165, 307418.438688927, 0.0, static
